1998	 1,807,480	 105,440	 4,718	 309,222	 --	 673,702	 308,844	 7,206	 -4,441	 --	 3,212,171
1999	 1,767,679	 82,981	 3,948	 296,381	 --	 725,036	 299,914	 3,716	 -5,982	 --	 3,173,674
2000	 1,696,619	 69,653	 2,527	 290,715	 --	 705,433	 253,155	 2,241	 -4,960	 --	 3,015,383
2001	 1,560,146	 74,729	 4,179	 264,434	 --	 534,207	 197,804	 1,666	 -7,704	 486	 2,629,946
2002	 1,514,670	 52,838	 6,286	 229,639	 206	 507,380	 242,302	 3,089	 -7,434	 480	 2,549,457
2003	 1,500,281	 62,774	 7,156	 186,967	 243	 458,829	 249,622	 3,421	 -7,532	 519	 2,462,281
2004	 1,513,641	 62,196	 11,498	 199,662	 374	 475,682	 245,546	 3,692	 -7,526	 467	 2,505,231
2005	 1,484,855	 58,572	 11,150	 238,204	 10	 436,296	 245,553	 4,945	 -5,383	 643	 2,474,846
2006	 1,471,421	 31,269	 9,634	 282,088	 30	 425,341	 261,864	 6,588	 -5,281	 700	 2,483,656
2007	 1,490,985	 33,325	 7,395	 313,785	 141	 427,555	 226,734	 8,953	 -5,328	 586	 2,504,131
2008	 1,466,395	 22,206	 5,918	 320,190	 46	 424,256	 229,645	 11,308	 -5,143	 545	 2,475,367
2009	 1,322,092	 18,035	 7,182	 349,166	 96	 417,275	 247,198	 14,617	 -3,369	 483	 2,372,776
